华北路	[301, 123, 2, 0, 0, 298, 104, 3, 0, 0, 413, 97, 0, 0, 0, 327, 89, 13, 0, 0, 283, 143, 6, 0, 0, 327, 102, 0, 0, 0, 381, 51, 0, 0, 0]	3063
通海街	[245, 28, 10, 0, 0, 227, 32, 10, 1, 0, 309, 23, 5, 3, 0, 250, 25, 9, 0, 0, 246, 37, 4, 1, 0, 250, 24, 11, 1, 0, 266, 18, 4, 0, 0]	2039
五四路	[319, 85, 20, 0, 0, 311, 70, 24, 0, 0, 420, 71, 16, 3, 0, 355, 48, 24, 0, 0, 343, 69, 20, 0, 0, 366, 52, 11, 0, 0, 390, 39, 2, 0, 0]	3058
鞍山路	[204, 77, 5, 0, 0, 182, 82, 6, 0, 0, 232, 90, 18, 0, 0, 193, 92, 1, 0, 0, 183, 100, 5, 0, 0, 199, 61, 26, 0, 0, 235, 50, 3, 0, 0]	2044
宏济街	[131, 4, 8, 0, 0, 125, 1, 8, 1, 0, 159, 3, 8, 0, 0, 138, 1, 4, 1, 0, 129, 2, 11, 2, 0, 142, 0, 1, 0, 0, 141, 1, 2, 0, 0]	1023
高尔基路	[240, 29, 14, 3, 0, 224, 29, 17, 0, 0, 290, 31, 19, 0, 0, 253, 24, 9, 0, 0, 244, 27, 15, 2, 0, 253, 33, 0, 0, 0, 271, 17, 0, 0, 0]	2044
同庆街	[130, 0, 12, 1, 0, 124, 0, 10, 1, 0, 157, 1, 10, 2, 0, 131, 0, 13, 0, 0, 130, 0, 13, 1, 0, 142, 0, 1, 0, 0, 142, 0, 2, 0, 0]	1023
英华街	[76, 19, 44, 1, 3, 75, 11, 43, 0, 6, 109, 14, 40, 4, 3, 97, 15, 29, 3, 0, 87, 21, 34, 2, 0, 106, 13, 23, 0, 1, 100, 26, 17, 0, 1]	1023
民权街	[275, 2, 6, 3, 0, 257, 1, 9, 3, 0, 311, 5, 16, 8, 0, 271, 0, 13, 2, 0, 271, 2, 13, 2, 0, 263, 0, 16, 7, 0, 279, 0, 8, 0, 1]	2044
珠江路	[273, 11, 0, 2, 0, 262, 2, 6, 0, 0, 328, 8, 4, 0, 0, 285, 2, 0, 0, 0, 277, 11, 0, 0, 0, 283, 1, 2, 0, 0, 284, 4, 0, 0, 0]	2045
五一路	[699, 120, 24, 0, 0, 654, 140, 16, 0, 0, 799, 209, 12, 0, 0, 694, 147, 8, 0, 0, 691, 143, 30, 0, 0, 695, 163, 0, 0, 0, 768, 95, 0, 0, 0]	6107
建设街	[0, 275, 5, 3, 0, 0, 255, 13, 2, 0, 0, 326, 14, 0, 0, 0, 228, 17, 6, 0, 0, 268, 11, 9, 0, 0, 268, 7, 11, 0, 0, 269, 15, 4, 0]	2006
兴业街	[154, 12, 60, 41, 16, 148, 11, 48, 46, 17, 213, 32, 49, 33, 13, 184, 15, 44, 32, 9, 165, 34, 42, 37, 10, 189, 27, 38, 19, 13, 186, 28, 33, 25, 16]	2039
正仁街	[216, 24, 32, 14, 0, 200, 18, 46, 6, 0, 258, 18, 52, 12, 0, 226, 18, 27, 16, 0, 206, 24, 50, 8, 0, 220, 18, 40, 8, 0, 222, 22, 42, 2, 0]	2045
西安路	[208, 151, 65, 0, 0, 214, 123, 63, 5, 0, 255, 165, 88, 2, 0, 216, 168, 42, 0, 0, 216, 133, 83, 0, 0, 210, 78, 104, 37, 0, 236, 85, 103, 7, 0]	3057
香周路	[288, 97, 44, 0, 0, 271, 101, 27, 6, 0, 380, 97, 33, 0, 0, 311, 86, 32, 0, 0, 286, 104, 41, 1, 0, 311, 102, 16, 0, 0, 354, 76, 2, 0, 0]	3066
东联路	[348, 36, 44, 0, 0, 319, 68, 18, 0, 0, 438, 42, 30, 0, 0, 349, 49, 31, 0, 0, 318, 68, 46, 0, 0, 381, 34, 14, 0, 0, 399, 26, 7, 0, 0]	3065
滨海西路	[284, 0, 0, 2, 0, 266, 0, 2, 2, 0, 338, 0, 2, 0, 0, 280, 0, 1, 4, 1, 285, 2, 1, 0, 0, 286, 0, 0, 0, 0, 288, 0, 0, 0, 0]	2044
菜市街	[233, 19, 17, 14, 0, 224, 16, 12, 18, 0, 271, 28, 33, 8, 0, 227, 16, 22, 18, 0, 247, 13, 17, 11, 0, 249, 7, 7, 23, 0, 249, 4, 14, 21, 0]	2038
胜利街	[0, 140, 2, 1, 0, 0, 129, 6, 0, 0, 0, 164, 3, 3, 0, 0, 141, 1, 1, 0, 0, 136, 6, 2, 0, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0]	1022
大同街	[123, 12, 8, 0, 0, 121, 6, 2, 6, 0, 134, 19, 9, 7, 1, 128, 8, 4, 1, 2, 117, 11, 14, 2, 0, 110, 5, 17, 7, 4, 114, 10, 11, 7, 2]	1022
双兴街	[137, 4, 2, 0, 0, 119, 10, 6, 0, 0, 148, 13, 9, 0, 0, 121, 15, 6, 1, 0, 135, 3, 6, 0, 0, 135, 4, 4, 0, 0, 139, 4, 1, 0, 0]	1022
水仙街	[137, 4, 2, 0, 0, 128, 5, 2, 0, 0, 160, 6, 4, 0, 0, 140, 2, 1, 0, 0, 137, 5, 2, 0, 0, 127, 14, 2, 0, 0, 134, 5, 3, 2, 0]	1022
香一街	[117, 1, 17, 8, 0, 111, 2, 19, 2, 1, 146, 1, 19, 2, 2, 121, 1, 14, 7, 0, 114, 3, 20, 7, 0, 111, 3, 22, 6, 1, 125, 0, 13, 6, 0]	1022
北海街	[257, 18, 6, 0, 0, 244, 20, 6, 0, 0, 312, 22, 5, 1, 0, 253, 20, 10, 0, 0, 250, 30, 8, 0, 0, 254, 23, 9, 0, 0, 265, 17, 5, 0, 0]	2035
黄河路	[305, 112, 9, 0, 0, 281, 112, 12, 0, 0, 345, 156, 9, 0, 0, 332, 93, 1, 0, 0, 308, 122, 2, 0, 0, 288, 130, 11, 0, 0, 355, 77, 0, 0, 0]	3060
黄河街	[186, 54, 42, 4, 0, 196, 50, 24, 0, 0, 266, 46, 28, 0, 0, 220, 48, 18, 0, 0, 186, 74, 28, 0, 0, 258, 24, 4, 0, 0, 266, 22, 0, 0, 0]	2044
东北路	[270, 87, 70, 0, 0, 245, 114, 46, 0, 0, 369, 80, 61, 0, 0, 280, 108, 40, 0, 0, 251, 111, 70, 0, 0, 356, 68, 5, 0, 0, 371, 61, 0, 0, 0]	3063
纪念街	[138, 3, 2, 0, 0, 133, 2, 0, 0, 0, 169, 1, 0, 0, 0, 140, 3, 0, 0, 0, 140, 4, 0, 0, 0, 139, 4, 0, 0, 0, 142, 2, 0, 0, 0]	1022
长春路	[87, 52, 4, 0, 0, 95, 40, 0, 0, 0, 120, 48, 2, 0, 0, 97, 42, 4, 0, 0, 90, 49, 5, 0, 0, 116, 26, 1, 0, 0, 128, 16, 0, 0, 0]	1022
福德街	[0, 252, 27, 2, 0, 0, 238, 32, 0, 0, 0, 301, 38, 1, 0, 0, 251, 32, 0, 0, 0, 253, 33, 2, 0, 0, 270, 16, 0, 0, 0, 278, 9, 0, 0]	2035
民政街	[380, 37, 8, 0, 0, 372, 28, 5, 0, 0, 462, 43, 5, 0, 0, 378, 39, 8, 0, 0, 396, 28, 8, 0, 0, 408, 21, 0, 0, 0, 422, 8, 2, 0, 0]	3058
太原街	[109, 34, 0, 0, 0, 107, 28, 0, 0, 0, 134, 35, 1, 0, 0, 116, 27, 0, 0, 0, 115, 29, 0, 0, 0, 117, 26, 0, 0, 0, 121, 23, 0, 0, 0]	1022
南沙街	[134, 5, 4, 0, 0, 124, 10, 1, 0, 0, 151, 13, 5, 1, 0, 131, 8, 4, 0, 0, 130, 7, 7, 0, 0, 116, 17, 10, 0, 0, 125, 12, 7, 0, 0]	1022
泰山街	[271, 10, 1, 0, 0, 255, 15, 0, 0, 0, 328, 12, 0, 0, 0, 274, 8, 1, 0, 0, 272, 14, 2, 0, 0, 283, 3, 0, 0, 0, 286, 2, 0, 0, 0]	2037
同泰街	[214, 51, 16, 0, 0, 208, 52, 8, 1, 0, 278, 46, 16, 0, 0, 227, 47, 9, 0, 0, 218, 60, 10, 0, 0, 270, 14, 2, 0, 0, 267, 16, 4, 0, 0]	2034
永平街	[123, 0, 20, 0, 0, 116, 0, 13, 0, 6, 163, 0, 6, 0, 1, 130, 0, 13, 0, 0, 126, 0, 18, 0, 0, 122, 0, 20, 0, 1, 121, 0, 15, 0, 8]	1022
长生街	[0, 141, 2, 0, 0, 0, 135, 0, 0, 0, 0, 169, 1, 0, 0, 0, 141, 2, 0, 0, 0, 143, 1, 0, 0, 0, 141, 2, 0, 0, 0, 144, 0, 0, 0]	1022
成仁街	[0, 143, 0, 0, 0, 0, 134, 1, 0, 0, 0, 167, 3, 0, 0, 0, 142, 1, 0, 0, 0, 144, 0, 0, 0, 0, 143, 0, 0, 0, 0, 144, 0, 0, 0]	1022
连胜街	[142, 1, 0, 0, 0, 134, 1, 0, 0, 0, 170, 0, 0, 0, 0, 141, 1, 1, 0, 0, 142, 1, 1, 0, 0, 142, 1, 0, 0, 0, 143, 1, 0, 0, 0]	1022
